SN,z,mua0,sigma_b,hostAV,Delta,sample
1997ff,1.755,45.35,0.35,0.0,—,Gold
2002dc,0.475,42.24,0.2,0.21,0.19,Gold
2002dd,0.95,43.98,0.34,0.35,-0.34,Gold
2003aj,1.307,44.99,0.31,0.29,0.09,Silver
2002fx,1.4,45.28,0.81,0.5,-0.01,Silver
2003eq,0.84,43.67,0.21,0.22,-0.04,Gold
2003es,0.954,44.3,0.27,0.1,-0.08,Gold
2003az,1.265,44.64,0.25,0.73,-0.4,Silver
2002kc,0.216,40.33,0.19,1.35,-0.31,Silver
2003eb,0.9,43.64,0.25,0.28,-0.4,Gold
2003XX,0.935,43.97,0.29,0.26,-0.31,Gold
2002hr,0.526,43.08,0.27,0.7,-0.4,Silver
2003bd,0.67,43.19,0.24,0.34,0.02,Gold
2002kd,0.735,43.14,0.19,0.21,0.12,Gold
2003be,0.64,43.01,0.25,0.42,-0.22,Gold
2003dy,1.34,44.92,0.31,0.43,-0.4,Gold
2002ki,1.14,44.71,0.29,0.13,0.04,Gold
2003ak,1.551,45.07,0.32,0.75,-0.4,Silver
2002hp,1.305,44.51,0.3,0.22,0.32,Gold
2002fw,1.3,45.06,0.2,0.25,-0.2,Gold
HST04Pat,0.97,44.67,0.36,0.19,-0.4,Gold
HST04Mcg,1.37,45.23,0.25,0.14,-0.4,Gold
HST05Fer,1.02,43.99,0.27,0.45,-0.13,Gold
HST05Koe,1.23,45.17,0.23,0.13,-0.4,Gold
HST05Dic,0.638,42.89,0.18,0.42,-0.39,Silver
HST04Gre,1.14,44.44,0.31,0.11,-0.4,Gold
HST04Omb,0.975,44.21,0.26,0.39,-0.39,Gold
HST05Red,1.19,43.64,0.39,0.53,0.08,Silver
HST05Lan,1.23,44.97,0.2,0.23,0.26,Gold
HST04Tha,0.954,43.85,0.27,0.19,0.06,Gold
HST04Rak,0.74,43.38,0.22,0.2,-0.1,Gold
HST05Zwi,0.521,42.05,0.37,0.56,-0.18,Silver
HST04Hawk,0.49,42.54,0.24,0.18,-0.4,Silver
HST04Kur,0.359,41.23,0.39,2.49,-0.34,Silver
HST04Yow,0.46,42.23,0.32,0.43,-0.04,Gold
HST04Man,0.854,43.96,0.29,0.13,-0.01,Gold
HST05Spo,0.839,43.45,0.2,0.22,-0.07,Gold
HST04Eag,1.02,44.52,0.19,0.18,-0.27,Gold
HST05Gab,1.12,44.67,0.18,0.11,-0.2,Gold
HST05Str,1.01,44.77,0.19,0.12,-0.29,Gold
